NACE_CODE_1;NACE_CODE_2;NACE-Level;NACE Category Name;DIT Main Category;DIT Sub Category;DIT.ID.x
D3513;D35.13;4;Distribution of electricity;Energy and Utility Suppliers;Electricity;1301
D3514;D35.14;4;Trade of electricity;Energy and Utility Suppliers;Electricity;1301
D353;D35.3;3;Steam and air conditioning supply;Energy and Utility Suppliers;Electricity;1301
D3530;D35.30;4;Steam and air conditioning supply;Energy and Utility Suppliers;Electricity;1301
D352;D35.2;3;"Manufacture of gas; distribution of gaseous fuels through mains";Energy and Utility Suppliers;Gas;1302
D3521;D35.21;4;Manufacture of gas;Energy and Utility Suppliers;Gas;1302
D3522;D35.22;4;Distribution of gaseous fuels through mains;Energy and Utility Suppliers;Gas;1302
D3523;D35.23;4;Trade of gas through mains;Energy and Utility Suppliers;Gas;1302
G4671;G46.71;4;Wholesale of solid, liquid and gaseous fuels and related products;Energy and Utility Suppliers;Gas;1302
E36;E36;2;Water collection, treatment and supply;Energy and Utility Suppliers;Water Supply;1303
E360;E36.0;3;Water collection, treatment and supply;Energy and Utility Suppliers;Water Supply;1303
E3600;E36.00;4;Water collection, treatment and supply;Energy and Utility Suppliers;Water Supply;1303
E37;E37;2;Sewerage;Energy and Utility Suppliers;Water Supply;1303
E370;E37.0;3;Sewerage;Energy and Utility Suppliers;Water Supply;1303
E3700;E37.00;4;Sewerage;Energy and Utility Suppliers;Water Supply;1303
E38;E38;2;"Waste collection, treatment and disposal activities; materials recovery";Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E381;E38.1;3;Waste collection;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3811;E38.11;4;Collection of non-hazardous waste;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3812;E38.12;4;Collection of hazardous waste;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E382;E38.2;3;Waste treatment and disposal;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3821;E38.21;4;Treatment and disposal of non-hazardous waste;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3822;E38.22;4;Treatment and disposal of hazardous waste;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E383;E38.3;3;Materials recovery;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3831;E38.31;4;Dismantling of wrecks;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3832;E38.32;4;Recovery of sorted materials;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E39;E39;2;Remediation activities and other waste management services;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E390;E39.0;3;Remediation activities and other waste management services;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
E3900;E39.00;4;Remediation activities and other waste management services;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
G4677;G46.77;4;Wholesale of waste and scrap;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;1304
F;F;1;Construction;Construction;;1400
M7111;M71.11;4;Architectural activities;Construction;Architects & Planners;1401
F41;F41;2;Construction of buildings;Construction;Development of Building Projects;1402
F411;F41.1;3;Development of building projects;Construction;Development of Building Projects;1402
F4110;F41.10;4;Development of building projects;Construction;Development of Building Projects;1402
F412;F41.2;3;Construction of residential and non-residential buildings;Construction;Development of Building Projects;1402
F4120;F41.20;4;Construction of residential and non-residential buildings;Construction;Development of Building Projects;1402
F431;F43.1;3;Demolition and site preparation;Construction;Development of Building Projects;1402
F4311;F43.11;4;Demolition;Construction;Development of Building Projects;1402
F4312;F43.12;4;Site preparation;Construction;Development of Building Projects;1402
F4313;F43.13;4;Test drilling and boring;Construction;Development of Building Projects;1402
F42;F42;2;Civil engineering;Construction;Development of Infrastructure Projects;1403
F421;F42.1;3;Construction of roads and railways;Construction;Development of Infrastructure Projects;1403
F4211;F42.11;4;Construction of roads and motorways;Construction;Development of Infrastructure Projects;1403
F4212;F42.12;4;Construction of railways and underground railways;Construction;Development of Infrastructure Projects;1403
F4213;F42.13;4;Construction of bridges and tunnels;Construction;Development of Infrastructure Projects;1403
F422;F42.2;3;Construction of utility projects;Construction;Development of Infrastructure Projects;1403
F4221;F42.21;4;Construction of utility projects for fluids;Construction;Development of Infrastructure Projects;1403
F4222;F42.22;4;Construction of utility projects for electricity and telecommunications;Construction;Development of Infrastructure Projects;1403
F429;F42.9;3;Construction of other civil engineering projects;Construction;Development of Infrastructure Projects;1403
F4291;F42.91;4;Construction of water projects;Construction;Development of Infrastructure Projects;1403
F4299;F42.99;4;Construction of other civil engineering projects n.e.c.;Construction;Development of Infrastructure Projects;1403
F4321;F43.21;4;Electrical installation;Construction;Electrical Installation;1404
F4322;F43.22;4;Plumbing, heat and air-conditioning installation;Construction;Plumbing, Heating and Air-Conditioning Installation;1405
F4391;F43.91;4;Roofing activities;Construction;Roofing Activities;1406
F4334;F43.34;4;Painting and glazing;Construction;Painting and Glazing;1407
F4333;F43.33;4;Floor and wall covering;Construction;Floor and Wall Covering;1408
F4331;F43.31;4;Plastering;Construction;Plastering;1409
F4332;F43.32;4;Joinery installation;Construction;Joinery Installation;1410
N7732;N77.32;4;Renting and leasing of construction and civil engineering machinery and equipment;Construction;Rental of Construction and Earthmoving Machinery;1411
N7739;N77.39;4;Renting and leasing of other machinery, equipment and tangible goods n.e.c.;Construction;Rental of Construction and Earthmoving Machinery;1411
F4329;F43.29;4;Other construction installation;Construction;Other (Construction);1499
F4339;F43.39;4;Other building completion and finishing;Construction;Other (Construction);1499
F4399;F43.99;4;Other specialised construction activities n.e.c.;Construction;Other (Construction);1499
G451;G45.1;3;Sale of motor vehicles;Automotive;Sale of Motor Vehicles;1501
G4511;G45.11;4;Sale of cars and light motor vehicles;Automotive;Sale of Motor Vehicles;1501
G4519;G45.19;4;Sale of other motor vehicles;Automotive;Sale of Motor Vehicles;1501
G452;G45.2;3;Maintenance and repair of motor vehicles;Automotive;Maintenance and Repair of Motor Vehicles;1502
G4520;G45.20;4;Maintenance and repair of motor vehicles;Automotive;Maintenance and Repair of Motor Vehicles;1502
G473;G47.3;3;Retail sale of automotive fuel in specialised stores;Automotive;Maintenance and Repair of Motor Vehicles;1502
G4730;G47.30;4;Retail sale of automotive fuel in specialised stores;Automotive;Maintenance and Repair of Motor Vehicles;1502
N771;N77.1;3;Renting and leasing of motor vehicles;Automotive;Rental of Motor Vehicles;1503
N7711;N77.11;4;Renting and leasing of cars and light motor vehicles;Automotive;Rental of Motor Vehicles;1503
N7712;N77.12;4;Renting and leasing of trucks;Automotive;Rental of Motor Vehicles;1503
G454;G45.4;3;Sale, maintenance and repair of motorcycles and related parts and accessories;Automotive;Sale, Maintenance and Repair of Motorcycles and Related Parts and Accessories;1504
G4540;G45.40;4;Sale, maintenance and repair of motorcycles and related parts and accessories;Automotive;Sale, Maintenance and Repair of Motorcycles and Related Parts and Accessories;1504
G453;G45.3;3;Sale of motor vehicle parts and accessories;Automotive;Trade of Motor Vehicle Parts and Accessories;1505
G4531;G45.31;4;Wholesale trade of motor vehicle parts and accessories;Automotive;Trade of Motor Vehicle Parts and Accessories;1505
G4532;G45.32;4;Retail trade of motor vehicle parts and accessories;Automotive;Trade of Motor Vehicle Parts and Accessories;1505
No Nace;No Nace;No Nace;No Nace;Cleaning and Facility Management Services;Other (Cleaning and Caretaking Services);1599
G4618;G46.18;4;Agents specialised in the sale of other particular products;Trade;General Mixed Trade;1601
G4619;G46.19;4;Agents involved in the sale of a variety of goods;Trade;General Mixed Trade;1601
G4649;G46.49;4;Wholesale of other household goods;Trade;General Mixed Trade;1601
G469;G46.9;3;Non-specialised wholesale trade;Trade;General Mixed Trade;1601
G4690;G46.90;4;Non-specialised wholesale trade;Trade;General Mixed Trade;1601
G4719;G47.19;4;Other retail sale in non-specialised stores;Trade;General Mixed Trade;1601
G4778;G47.78;4;Other retail sale of new goods in specialised stores;Trade;General Mixed Trade;1601
G4789;G47.89;4;Retail sale via stalls and markets of other goods;Trade;General Mixed Trade;1601
G479;G47.9;3;Retail trade not in stores, stalls or markets;Trade;General Mixed Trade;1601
G4791;G47.91;4;Retail sale via mail order houses or via Internet;Trade;General Mixed Trade;1601
G4799;G47.99;4;Other retail sale not in stores, stalls or markets;Trade;General Mixed Trade;1601
G4611;G46.11;4;Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G462;G46.2;3;Wholesale of agricultural raw materials and live animals;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4621;G46.21;4;Wholesale of grain, unmanufactured tobacco, seeds and animal feeds;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4622;G46.22;4;Wholesale of flowers and plants;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4623;G46.23;4;Wholesale of live animals;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4624;G46.24;4;Wholesale of hides, skins and leather;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4661;G46.61;4;Wholesale of agricultural machinery, equipment and supplies;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4776;G47.76;4;Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores;Trade;Sale of Agricultural, Forestry and Gardening Supplies;1602
G4616;G46.16;4;Agents involved in the sale of textiles, clothing, fur, footwear and leather goods;Trade;Sale of Clothes and Accessories;1603
G4641;G46.41;4;Wholesale of textiles;Trade;Sale of Clothes and Accessories;1603
G4642;G46.42;4;Wholesale of clothing and footwear;Trade;Sale of Clothes and Accessories;1603
G4648;G46.48;4;Wholesale of watches and jewellery;Trade;Sale of Clothes and Accessories;1603
G4751;G47.51;4;Retail sale of textiles in specialised stores;Trade;Sale of Clothes and Accessories;1603
G4771;G47.71;4;Retail sale of clothing in specialised stores;Trade;Sale of Clothes and Accessories;1603
G4772;G47.72;4;Retail sale of footwear and leather goods in specialised stores;Trade;Sale of Clothes and Accessories;1603
G4777;G47.77;4;Retail sale of watches and jewellery in specialised stores;Trade;Sale of Clothes and Accessories;1603
G4782;G47.82;4;Retail sale via stalls and markets of textiles, clothing and footwear;Trade;Sale of Clothes and Accessories;1603
S9523;S95.23;4;Repair of footwear and leather goods;Trade;Sale of Clothes and Accessories;1603
S9525;S95.25;4;Repair of watches, clocks and jewellery;Trade;Sale of Clothes and Accessories;1603
S9601;S96.01;4;Washing and (dry-)cleaning of textile and fur products;Trade;Sale of Clothes and Accessories;1603
G4613;G46.13;4;Agents involved in the sale of timber and building materials;Trade;Sale of Construction Products;1604
G4663;G46.63;4;Wholesale of mining, construction and civil engineering machinery;Trade;Sale of Construction Products;1604
G4673;G46.73;4;Wholesale of wood, construction materials and sanitary equipment;Trade;Sale of Construction Products;1604
G4674;G46.74;4;Wholesale of hardware, plumbing and heating equipment and supplies;Trade;Sale of Construction Products;1604
G4752;G47.52;4;Retail sale of hardware, paints and glass in specialised stores;Trade;Sale of Construction Products;1604
G4753;G47.53;4;Retail sale of carpets, rugs, wall and floor coverings in specialised stores;Trade;Sale of Construction Products;1604
G475;G47.5;3;Retail sale of other household equipment in specialised stores;Trade;Sale of Electronics and Consumer goods;1605
G4754;G47.54;4;Retail sale of electrical household appliances in specialised stores;Trade;Sale of Electronics and Consumer goods;1605
G476;G47.6;3;Retail sale of cultural and recreation goods in specialised stores;Trade;Sale of Electronics and Consumer goods;1605
S95;S95;2;Repair of computers and personal and household goods;Trade;Sale of Electronics and Consumer goods;1605
S952;S95.2;3;Repair of personal and household goods;Trade;Sale of Electronics and Consumer goods;1605
S9521;S95.21;4;Repair of consumer electronics;Trade;Sale of Electronics and Consumer goods;1605
G4617;G46.17;4;Agents involved in the sale of food, beverages and tobacco;Trade;Sale of Food Products;1606
G463;G46.3;3;Wholesale of food, beverages and tobacco;Trade;Sale of Food Products;1606
G4631;G46.31;4;Wholesale of fruit and vegetables;Trade;Sale of Food Products;1606
G4632;G46.32;4;Wholesale of meat and meat products;Trade;Sale of Food Products;1606
G4633;G46.33;4;Wholesale of dairy products, eggs and edible oils and fats;Trade;Sale of Food Products;1606
G4634;G46.34;4;Wholesale of beverages;Trade;Sale of Food Products;1606
G4635;G46.35;4;Wholesale of tobacco products;Trade;Sale of Food Products;1606
G4636;G46.36;4;Wholesale of sugar and chocolate and sugar confectionery;Trade;Sale of Food Products;1606
G4637;G46.37;4;Wholesale of coffee, tea, cocoa and spices;Trade;Sale of Food Products;1606
G4638;G46.38;4;Wholesale of other food, including fish, crustaceans and molluscs;Trade;Sale of Food Products;1606
G4639;G46.39;4;Non-specialised wholesale of food, beverages and tobacco;Trade;Sale of Food Products;1606
G4711;G47.11;4;Retail sale in non-specialised stores with food, beverages or tobacco predominating;Trade;Sale of Food Products;1606
G472;G47.2;3;Retail sale of food, beverages and tobacco in specialised stores;Trade;Sale of Food Products;1606
G4721;G47.21;4;Retail sale of fruit and vegetables in specialised stores;Trade;Sale of Food Products;1606
G4722;G47.22;4;Retail sale of meat and meat products in specialised stores;Trade;Sale of Food Products;1606
G4723;G47.23;4;Retail sale of fish, crustaceans and molluscs in specialised stores;Trade;Sale of Food Products;1606
G4724;G47.24;4;Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores;Trade;Sale of Food Products;1606
G4725;G47.25;4;Retail sale of beverages in specialised stores;Trade;Sale of Food Products;1606
G4726;G47.26;4;Retail sale of tobacco products in specialised stores;Trade;Sale of Food Products;1606
G4729;G47.29;4;Other retail sale of food in specialised stores;Trade;Sale of Food Products;1606
G4781;G47.81;4;Retail sale via stalls and markets of food, beverages and tobacco products;Trade;Sale of Food Products;1606
G4615;G46.15;4;Agents involved in the sale of furniture, household goods, hardware and ironmongery;Trade;Sale of Furniture and Appliances;1607
G4643;G46.43;4;Wholesale of electrical household appliances;Trade;Sale of Furniture and Appliances;1607
G4644;G46.44;4;Wholesale of china and glassware and cleaning materials;Trade;Sale of Furniture and Appliances;1607
G4647;G46.47;4;Wholesale of furniture, carpets and lighting equipment;Trade;Sale of Furniture and Appliances;1607
G4665;G46.65;4;Wholesale of office furniture;Trade;Sale of Furniture and Appliances;1607
G4666;G46.66;4;Wholesale of other office machinery and equipment;Trade;Sale of Furniture and Appliances;1607
G4759;G47.59;4;Retail sale of furniture, lighting equipment and other household articles in specialised stores;Trade;Sale of Furniture and Appliances;1607
G4779;G47.79;4;Retail sale of second-hand goods in stores;Trade;Sale of Furniture and Appliances;1607
N7729;N77.29;4;Renting and leasing of other personal and household goods;Trade;Sale of Furniture and Appliances;1607
N7733;N77.33;4;Renting and leasing of office machinery and equipment (including computers);Trade;Sale of Furniture and Appliances;1607
S9522;S95.22;4;Repair of household appliances and home and garden equipment;Trade;Sale of Furniture and Appliances;1607
S9524;S95.24;4;Repair of furniture and home furnishings;Trade;Sale of Furniture and Appliances;1607
S9529;S95.29;4;Repair of other personal and household goods;Trade;Sale of Furniture and Appliances;1607
G4612;G46.12;4;Agents involved in the sale of fuels, ores, metals and industrial chemicals;Trade;Sale of Industrial Products;1608
G4675;G46.75;4;Wholesale of chemical products;Trade;Sale of Industrial Products;1608
G4676;G46.76;4;Wholesale of other intermediate products;Trade;Sale of Industrial Products;1608
G465;G46.5;3;Wholesale of information and communication equipment;Trade;Sale of Information Technology and Telecommunications goods;1609
G4651;G46.51;4;Wholesale of computers, computer peripheral equipment and software;Trade;Sale of Information Technology and Telecommunications goods;1609
G4652;G46.52;4;Wholesale of electronic and telecommunications equipment and parts;Trade;Sale of Information Technology and Telecommunications goods;1609
G474;G47.4;3;Retail sale of information and communication equipment in specialised stores;Trade;Sale of Information Technology and Telecommunications goods;1609
G4741;G47.41;4;Retail sale of computers, peripheral units and software in specialised stores;Trade;Sale of Information Technology and Telecommunications goods;1609
G4742;G47.42;4;Retail sale of telecommunications equipment in specialised stores;Trade;Sale of Information Technology and Telecommunications goods;1609
G4743;G47.43;4;Retail sale of audio and video equipment in specialised stores;Trade;Sale of Information Technology and Telecommunications goods;1609
S951;S95.1;3;Repair of computers and communication equipment;Trade;Sale of Information Technology and Telecommunications goods;1609
S9511;S95.11;4;Repair of computers and peripheral equipment;Trade;Sale of Information Technology and Telecommunications goods;1609
S9512;S95.12;4;Repair of communication equipment;Trade;Sale of Information Technology and Telecommunications goods;1609
G4763;G47.63;4;Retail sale of music and video recordings in specialised stores;Trade;Sale of Leisure Equipment;1610
G4764;G47.64;4;Retail sale of sporting equipment in specialised stores;Trade;Sale of Leisure Equipment;1610
G4765;G47.65;4;Retail sale of games and toys in specialised stores;Trade;Sale of Leisure Equipment;1610
G4614;G46.14;4;Agents involved in the sale of machinery, industrial equipment, ships and aircraft;Trade;Sale of Machinery and Equipment;1611
G466;G46.6;3;Wholesale of other machinery, equipment and supplies;Trade;Sale of Machinery and Equipment;1611
G4662;G46.62;4;Wholesale of machine tools;Trade;Sale of Machinery and Equipment;1611
G4664;G46.64;4;Wholesale of machinery for the textile industry and of sewing and knitting machines;Trade;Sale of Machinery and Equipment;1611
G4669;G46.69;4;Wholesale of other machinery and equipment;Trade;Sale of Machinery and Equipment;1611
G4646;G46.46;4;Wholesale of pharmaceutical goods;Trade;Sale of Medical and Pharmaceutical products;1612
G4773;G47.73;4;Dispensing chemist in specialised stores;Trade;Sale of Medical and Pharmaceutical products;1612
G4774;G47.74;4;Retail sale of medical and orthopaedic goods in specialised stores;Trade;Sale of Medical and Pharmaceutical products;1612
G4761;G47.61;4;Retail sale of books in specialised stores;Trade;Sale of Published Goods;1613
G4762;G47.62;4;Retail sale of newspapers and stationery in specialised stores;Trade;Sale of Published Goods;1613
No Nace;No Nace;No Nace;No Nace;Financial Services and Insurance;Other (Financial Service);1699
H;H;1;Transporting and storage;Transportation;;1700
H491;H49.1;3;Passenger rail transport, interurban;Transportation;Transport of Persons;1701
H4910;H49.10;4;Passenger rail transport, interurban;Transportation;Transport of Persons;1701
H493;H49.3;3;Other passenger land transport;Transportation;Transport of Persons;1701
H4931;H49.31;4;Urban and suburban passenger land transport;Transportation;Transport of Persons;1701
H4932;H49.32;4;Taxi operation;Transportation;Transport of Persons;1701
H4939;H49.39;4;Other passenger land transport n.e.c.;Transportation;Transport of Persons;1701
H501;H50.1;3;Sea and coastal passenger water transport;Transportation;Transport of Persons;1701
H5010;H50.10;4;Sea and coastal passenger water transport;Transportation;Transport of Persons;1701
H503;H50.3;3;Inland passenger water transport;Transportation;Transport of Persons;1701
H5030;H50.30;4;Inland passenger water transport;Transportation;Transport of Persons;1701
H511;H51.1;3;Passenger air transport;Transportation;Transport of Persons;1701
H5110;H51.10;4;Passenger air transport;Transportation;Transport of Persons;1701
C1624;C16.24;4;Manufacture of wooden containers;Transportation;Transport of Freight;1702
C1721;C17.21;4;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;Transportation;Transport of Freight;1702
C2529;C25.29;4;Manufacture of other tanks, reservoirs and containers of metal;Transportation;Transport of Freight;1702
C3315;C33.15;4;Repair and maintenance of ships and boats;Transportation;Transport of Freight;1702
C3316;C33.16;4;Repair and maintenance of aircraft and spacecraft;Transportation;Transport of Freight;1702
C3317;C33.17;4;Repair and maintenance of other transport equipment;Transportation;Transport of Freight;1702
H492;H49.2;3;Freight rail transport;Transportation;Transport of Freight;1702
H4920;H49.20;4;Freight rail transport;Transportation;Transport of Freight;1702
H494;H49.4;3;Freight transport by road and removal services;Transportation;Transport of Freight;1702
H4941;H49.41;4;Freight transport by road;Transportation;Transport of Freight;1702
H4942;H49.42;4;Removal services;Transportation;Transport of Freight;1702
H495;H49.5;3;Transport via pipeline;Transportation;Transport of Freight;1702
H4950;H49.50;4;Transport via pipeline;Transportation;Transport of Freight;1702
H502;H50.2;3;Sea and coastal freight water transport;Transportation;Transport of Freight;1702
H5020;H50.20;4;Sea and coastal freight water transport;Transportation;Transport of Freight;1702
H504;H50.4;3;Inland freight water transport;Transportation;Transport of Freight;1702
H5040;H50.40;4;Inland freight water transport;Transportation;Transport of Freight;1702
H512;H51.2;3;Freight air transport and space transport;Transportation;Transport of Freight;1702
H5121;H51.21;4;Freight air transport;Transportation;Transport of Freight;1702
H5122;H51.22;4;Space transport;Transportation;Transport of Freight;1702
H52;H52;2;Warehousing and support activities for transportation;Transportation;Transport of Freight;1702
H521;H52.1;3;Warehousing and storage;Transportation;Transport of Freight;1702
H5210;H52.10;4;Warehousing and storage;Transportation;Transport of Freight;1702
H522;H52.2;3;Support activities for transportation;Transportation;Transport of Freight;1702
H5221;H52.21;4;Service activities incidental to land transportation;Transportation;Transport of Freight;1702
H5222;H52.22;4;Service activities incidental to water transportation;Transportation;Transport of Freight;1702
H5223;H52.23;4;Service activities incidental to air transportation;Transportation;Transport of Freight;1702
H5224;H52.24;4;Cargo handling;Transportation;Transport of Freight;1702
H5229;H52.29;4;Other transportation support activities;Transportation;Transport of Freight;1702
H53;H53;2;Postal and courier activities;Transportation;Transport of Freight;1702
H531;H53.1;3;Postal activities under universal service obligation;Transportation;Transport of Freight;1702
H5310;H53.10;4;Postal activities under universal service obligation;Transportation;Transport of Freight;1702
H532;H53.2;3;Other postal and courier activities;Transportation;Transport of Freight;1702
H5320;H53.20;4;Other postal and courier activities;Transportation;Transport of Freight;1702
N7735;N77.35;4;Renting and leasing of air transport equipment;Transportation;Transport of Freight;1702
N8292;N82.92;4;Packaging activities;Transportation;Transport of Freight;1702
No Nace;No Nace;No Nace;No Nace;Legal, Public Order, Security;Other (Legal, Public Order, Security);1799
I551;I55.1;3;Hotels and similar accommodation;Tourism and Accommodation;Hotels, Guest Houses and Hostels;1801
I5510;I55.10;4;Hotels and similar accommodation;Tourism and Accommodation;Hotels, Guest Houses and Hostels;1801
I552;I55.2;3;Holiday and other short-stay accommodation;Tourism and Accommodation;Self-Catered Acommodation;1802
I5520;I55.20;4;Holiday and other short-stay accommodation;Tourism and Accommodation;Self-Catered Acommodation;1802
I553;I55.3;3;Camping grounds, recreational vehicle parks and trailer parks;Tourism and Accommodation;Camp Sites and Caravan Parks;1803
I5530;I55.30;4;Camping grounds, recreational vehicle parks and trailer parks;Tourism and Accommodation;Camp Sites and Caravan Parks;1803
N7734;N77.34;4;Renting and leasing of water transport equipment;Tourism and Accommodation;Travel Agency and Tour Operators;1804
N79;N79;2;Travel agency, tour operator and other reservation service and related activities;Tourism and Accommodation;Travel Agency and Tour Operators;1804
N791;N79.1;3;Travel agency and tour operator activities;Tourism and Accommodation;Travel Agency and Tour Operators;1804
N7911;N79.11;4;Travel agency activities;Tourism and Accommodation;Travel Agency and Tour Operators;1804
N7912;N79.12;4;Tour operator activities;Tourism and Accommodation;Travel Agency and Tour Operators;1804
N799;N79.9;3;Other reservation service and related activities;Tourism and Accommodation;Travel Agency and Tour Operators;1804
N7990;N79.90;4;Other reservation service and related activities;Tourism and Accommodation;Travel Agency and Tour Operators;1804
No Nace;No Nace;No Nace;No Nace;Leisure & Entertainment;Adult Entertainment;1899
I559;I55.9;3;Other accommodation;Tourism and Accommodation;Other (Tourism and Accommodation);1899
I5590;I55.90;4;Other accommodation;Tourism and Accommodation;Other (Tourism and Accommodation);1899
I561;I56.1;3;Restaurants and mobile food service activities;Restaurants, Bars, Cafes, Catering;Restaurants, Cafes, Food Stands, Canteens;1901
I5610;I56.10;4;Restaurants and mobile food service activities;Restaurants, Bars, Cafes, Catering;Restaurants, Cafes, Food Stands, Canteens;1901
I5629;I56.29;4;Other food service activities;Restaurants, Bars, Cafes, Catering;Restaurants, Cafes, Food Stands, Canteens;1901
I563;I56.3;3;Beverage serving activities;Restaurants, Bars, Cafes, Catering;Bars ;1902
I5630;I56.30;4;Beverage serving activities;Restaurants, Bars, Cafes, Catering;Bars ;1902
I5621;I56.21;4;Event catering activities;Restaurants, Bars, Cafes, Catering;Event Catering;1903
No Nace;No Nace;No Nace;No Nace;Manufacturing ;Other (Manufacturing);1999
C18;C18;2;Printing and reproduction of recorded media;Publishing, Printing and Photography;Publishing & Printing;2001
C181;C18.1;3;Printing and service activities related to printing;Publishing, Printing and Photography;Publishing & Printing;2001
C1811;C18.11;4;Printing of newspapers;Publishing, Printing and Photography;Publishing & Printing;2001
C1812;C18.12;4;Other printing;Publishing, Printing and Photography;Publishing & Printing;2001
C1813;C18.13;4;Pre-press and pre;Publishing, Printing and Photography;Publishing & Printing;2001
C1814;C18.14;4;Binding and related services;Publishing, Printing and Photography;Publishing & Printing;2001
C182;C18.2;3;Reproduction of recorded media;Publishing, Printing and Photography;Publishing & Printing;2001
C1820;C18.20;4;Reproduction of recorded media;Publishing, Printing and Photography;Publishing & Printing;2001
J58;J58;2;Publishing activities;Publishing, Printing and Photography;Publishing & Printing;2001
J581;J58.1;3;Publishing of books, periodicals and other publishing activities;Publishing, Printing and Photography;Publishing & Printing;2001
J5811;J58.11;4;Book publishing;Publishing, Printing and Photography;Publishing & Printing;2001
J5812;J58.12;4;Publishing of directories and mailing lists;Publishing, Printing and Photography;Publishing & Printing;2001
J5813;J58.13;4;Publishing of newspapers;Publishing, Printing and Photography;Publishing & Printing;2001
J5814;J58.14;4;Publishing of journals and periodicals;Publishing, Printing and Photography;Publishing & Printing;2001
J5819;J58.19;4;Other publishing activities;Publishing, Printing and Photography;Publishing & Printing;2001
J582;J58.2;3;Software publishing;Publishing, Printing and Photography;Publishing & Printing;2001
J5821;J58.21;4;Publishing of computer games;Publishing, Printing and Photography;Publishing & Printing;2001
J5829;J58.29;4;Other software publishing;Publishing, Printing and Photography;Publishing & Printing;2001
M741;M74.1;3;Specialised design activities;Publishing, Printing and Photography;Design & Photography;2002
M7410;M74.10;4;Specialised design activities;Publishing, Printing and Photography;Design & Photography;2002
M742;M74.2;3;Photographic activities;Publishing, Printing and Photography;Design & Photography;2002
M7420;M74.20;4;Photographic activities;Publishing, Printing and Photography;Design & Photography;2002
R;R;1;Arts, entertainment and recreation;Leisure & Entertainment;;2100
R90;R90;2;Creative, arts and entertainment activities;Leisure & Entertainment;Cultural & Arts;2101
R900;R90.0;3;Creative, arts and entertainment activities;Leisure & Entertainment;Cultural & Arts;2101
R9001;R90.01;4;Performing arts;Leisure & Entertainment;Cultural & Arts;2101
R9002;R90.02;4;Support activities to performing arts;Leisure & Entertainment;Cultural & Arts;2101
R9003;R90.03;4;Artistic creation;Leisure & Entertainment;Cultural & Arts;2101
R9004;R90.04;4;Operation of arts facilities;Leisure & Entertainment;Cultural & Arts;2101
R91;R91;2;Libraries, archives, museums and other cultural activities;Leisure & Entertainment;Cultural & Arts;2101
R910;R91.0;3;Libraries, archives, museums and other cultural activities;Leisure & Entertainment;Cultural & Arts;2101
R9101;R91.01;4;Library and archives activities;Leisure & Entertainment;Cultural & Arts;2101
R9102;R91.02;4;Museums activities;Leisure & Entertainment;Cultural & Arts;2101
R9103;R91.03;4;Operation of historical sites and buildings and similar visitor attractions;Leisure & Entertainment;Cultural & Arts;2101
R9104;R91.04;4;Botanical and zoological gardens and nature reserves activities;Leisure & Entertainment;Cultural & Arts;2101
J591;J59.1;3;Motion picture, video and television programme activities;Leisure & Entertainment;Television, Film & Music Production;2102
J5911;J59.11;4;Motion picture, video and television programme production activities;Leisure & Entertainment;Television, Film & Music Production;2102
J5912;J59.12;4;Motion picture, video and television programme post-production activities;Leisure & Entertainment;Television, Film & Music Production;2102
J5913;J59.13;4;Motion picture, video and television programme distribution activities;Leisure & Entertainment;Television, Film & Music Production;2102
J5914;J59.14;4;Motion picture projection activities;Leisure & Entertainment;Television, Film & Music Production;2102
J592;J59.2;3;Sound recording and music publishing activities;Leisure & Entertainment;Television, Film & Music Production;2102
J5920;J59.20;4;Sound recording and music publishing activities;Leisure & Entertainment;Television, Film & Music Production;2102
